iter	Logloss
0	0.6863475709
1	0.6803199623
2	0.6744294458
3	0.6693646175
4	0.6646090303
5	0.6604346454
6	0.656383843
7	0.6530863349
8	0.6499150314
9	0.6469021961
10	0.644178366
11	0.6416104389
12	0.6392831785
13	0.6371803957
14	0.6349728415
15	0.633161572
16	0.6313576558
17	0.6297696099
18	0.6282126307
19	0.6267966768
20	0.625402327
21	0.6241870806
22	0.6229857429
23	0.6219086717
24	0.6208626101
25	0.6199658393
26	0.6189351115
27	0.6179621847
28	0.6171459591
29	0.6163560689
30	0.6156062517
31	0.6149849763
32	0.6143868441
33	0.6138542653
34	0.6132320778
35	0.612565941
36	0.6120072549
37	0.611550547
38	0.6111230247
39	0.6106947044
40	0.6101848128
41	0.6098090492
42	0.6094216569
43	0.6090418461
44	0.6086802192
45	0.608368413
46	0.6080024539
47	0.6075667231
48	0.6072524657
49	0.6069563353
50	0.606586443
51	0.6062264692
52	0.6059574721
53	0.6056616267
54	0.6054536228
55	0.6051357742
56	0.6048908325
57	0.6046624785
58	0.6044308755
59	0.6041867317
60	0.603924005
61	0.6036838515
62	0.6034477451
63	0.6032668177
64	0.6030833821
65	0.6029022267
66	0.6027030013
67	0.6025011537
68	0.6022652184
69	0.6020482081
70	0.6018596423
71	0.601663666
72	0.6014274457
73	0.6011566816
74	0.6008929288
75	0.6007551526
76	0.6005853408
77	0.600437361
78	0.6002823699
79	0.6000439265
80	0.5998444161
81	0.5997004266
82	0.5995872757
83	0.5994179198
84	0.5992770085
85	0.5991160321
86	0.5989366437
87	0.598789462
88	0.5985722237
89	0.5984275501
90	0.5982552301
91	0.5981146608
92	0.597983896
93	0.5978287909
94	0.5976407951
95	0.5974371804
96	0.5973080687
97	0.5971879064
98	0.5970859851
99	0.5969081358
100	0.5967688206
101	0.5966372007
102	0.596432389
103	0.5962275203
104	0.5960719022
105	0.5959755102
106	0.5958751849
107	0.5957955518
108	0.5956070999
109	0.5954874507
110	0.5953622721
111	0.5952165725
112	0.5950361581
113	0.5948959878
114	0.5946618766
115	0.5945633184
116	0.5944466904
117	0.5943158115
118	0.5942202745
119	0.5941217164
120	0.5939668963
121	0.5937420766
122	0.5936607333
123	0.5935429082
124	0.5934288452
125	0.5932845707
126	0.5931100846
127	0.5929851341
128	0.592888514
129	0.5927463486
130	0.5926292075
131	0.5924914313
132	0.5924267329
133	0.5922979632
134	0.5922318398
135	0.5920851141
136	0.5919852449
137	0.5918989424
138	0.5917875586
139	0.5916648882
140	0.5915889032
141	0.5914966724
142	0.5913505168
143	0.591220379
144	0.5910889301
145	0.5910153963
146	0.5908788742
147	0.590722344
148	0.5905720841
149	0.5904807654
150	0.5903788441
151	0.5902681443
152	0.5901511742
153	0.5900611095
154	0.589975263
155	0.5897495882
156	0.5896563883
157	0.5895716819
158	0.589342701
159	0.5892791427
160	0.5891203894
161	0.5890238263
162	0.5889489244
163	0.5888220358
164	0.5887382984
165	0.5886048545
166	0.5885351968
167	0.5884384058
168	0.5883697742
169	0.5882868349
170	0.5882388954
171	0.5881565831
172	0.5880718196
173	0.5879020078
174	0.5878121141
175	0.5877483278
176	0.5876253153
177	0.5874897053
178	0.5873383054
179	0.5872569621
180	0.5871468894
181	0.5870013038
182	0.5868684298
183	0.5867720378
184	0.5866405319
185	0.5865406627
186	0.5864772184
187	0.5862992551
188	0.5861893534
189	0.5860914793
190	0.5859146561
191	0.5857375478
192	0.5856524994
193	0.5855452198
194	0.5854660426
195	0.585242876
196	0.5851525833
197	0.5850640577
198	0.5849863056
199	0.5848884885
200	0.5848066322
201	0.5847206717
202	0.5846001675
203	0.5843548266
204	0.5842559265
205	0.5841590784
206	0.5840447875
207	0.5839250812
208	0.5837967675
209	0.5836679408
210	0.5835938939
211	0.5834943667
212	0.5833951246
213	0.583288244
214	0.5832022835
215	0.5830755089
216	0.5830001509
217	0.5829120813
218	0.5827922611
219	0.5827552662
220	0.5826842405
221	0.5825305604
222	0.5823853739
223	0.5823212455
224	0.582234145
225	0.5821682495
226	0.582042672
227	0.5818957183
228	0.5818181943
229	0.5817263625
230	0.5816372098
231	0.5815415018
232	0.5813962582
233	0.5812142477
234	0.5811367807
235	0.5810391916
236	0.5809755193
237	0.580913158
238	0.5808326128
239	0.5807814241
240	0.5806735745
241	0.5805825978
242	0.580510318
243	0.5804129569
244	0.5802984379
245	0.5802490164
246	0.5801069079
247	0.5800073807
248	0.5799090506
249	0.5798434402
250	0.5797747516
251	0.5797269831
252	0.5796344103
253	0.5795894349
254	0.579456276
255	0.579379493
256	0.5792924494
257	0.5792365295
258	0.5791071898
259	0.5789955779
260	0.57890101
261	0.5787821588
262	0.5787040077
263	0.5786564102
264	0.5785966711
265	0.5785295216
266	0.5784510855
267	0.578365239
268	0.5782408585
269	0.5781398493
270	0.5780531477
271	0.5779784739
272	0.5778756975
273	0.5777663658
274	0.5776662686
275	0.5774895593
276	0.5773883791
277	0.5772954642
278	0.5772060265
279	0.5770736086
280	0.5769974527
281	0.5768970134
282	0.5767980562
283	0.5767384881
284	0.57665857
285	0.5764997597
286	0.5764203545
287	0.5763172932
288	0.5762452414
289	0.5761819111
290	0.5760875142
291	0.5760062279
292	0.5758525479
293	0.5756979558
294	0.5756276142
295	0.5755590396
296	0.575490237
297	0.5754209784
298	0.5753512067
299	0.5752619971
300	0.5752097823
301	0.5750734882
302	0.5750279429
303	0.5748927318
304	0.57481897
305	0.5747107213
306	0.57460823
307	0.5745558442
308	0.5744841915
309	0.5744146478
310	0.5743520016
311	0.5742775557
312	0.5741385254
313	0.5740634525
314	0.5740065065
315	0.5739290395
316	0.5738459862
317	0.5737906363
318	0.5737405307
319	0.5736271517
320	0.5735440984
321	0.573439498
322	0.5733887083
323	0.5733147184
324	0.5732348573
325	0.5731311119
326	0.5730720568
327	0.5730332948
328	0.5729567968
329	0.5729127335
330	0.5728048268
331	0.5727526691
332	0.5726259515
333	0.5725698036
334	0.5724718725
335	0.5724506103
336	0.5723712052
337	0.5722803425
338	0.5722231115
339	0.5721357829
340	0.5720317525
341	0.5719606698
342	0.5718821767
343	0.5718246037
344	0.5717337409
345	0.5716534237
346	0.5715680903
347	0.5714959815
348	0.5714069999
349	0.571293963
350	0.571237758
351	0.5711048841
352	0.5710163015
353	0.57095052
354	0.5708745921
355	0.5707953009
356	0.5706897314
357	0.5705590236
358	0.5704172572
359	0.5703196111
360	0.5702293184
361	0.5701596038
362	0.570069083
363	0.5699787333
364	0.5698788641
365	0.5698208351
366	0.5697696464
367	0.5697071142
368	0.5696242888
369	0.5695558853
370	0.5694875957
371	0.5694340699
372	0.5693481664
373	0.5692547385
374	0.5691464899
375	0.5690286647
376	0.5689436163
377	0.5688534376
378	0.5687617768
379	0.5686544972
380	0.5685825025
381	0.5685134149
382	0.5684705486
383	0.5684088714
384	0.5683110543
385	0.5682209896
386	0.5681381073
387	0.5680800212
388	0.567998564
389	0.5679077582
390	0.5678190046
391	0.5677031746
392	0.567635569
393	0.5675227601
394	0.5674420439
395	0.5673532903
396	0.5672720611
397	0.5671587391
398	0.5670707836
399	0.5669660121
400	0.5668626087
401	0.56673344
402	0.5666294095
403	0.5665856882
404	0.5665216169
405	0.5664762995
406	0.5664155914
407	0.5662879047
408	0.5662192161
409	0.5661036711
410	0.5660274581
411	0.5659387045
412	0.5658285747
413	0.5657621093
414	0.5657057903
415	0.5656485023
416	0.5655702942
417	0.5654728192
418	0.5653780802
419	0.5652859634
420	0.5651653451
421	0.565086738
422	0.565009898
423	0.564952724
424	0.5648400291
425	0.5647358847
426	0.5646705023
427	0.564608312
428	0.5645070748
429	0.5644012202
430	0.5643095024
431	0.5642269621
432	0.5641522882
433	0.5641075409
434	0.5640033965
435	0.5639413202
436	0.5639042683
437	0.5638733727
438	0.5637886663
439	0.5636965495
440	0.5636251247
441	0.5635378532
442	0.5634715587
443	0.5633895884
444	0.5633345236
445	0.5632682861
446	0.5632000535
447	0.5631584984
448	0.5630287596
449	0.5629450222
450	0.5628849411
451	0.56280736
452	0.5627197465
453	0.5626200483
454	0.5625250243
455	0.5624569058
456	0.5623941455
457	0.5623373135
458	0.5622438286
459	0.5621424773
460	0.5620846193
461	0.5620068103
462	0.5619694163
463	0.5618999867
464	0.5618330652
465	0.5617439695
466	0.5616691816
467	0.561541324
468	0.5614691582
469	0.5614170575
470	0.561330983
471	0.5612671397
472	0.5612051204
473	0.5611074173
474	0.5610110823
475	0.5609279149
476	0.5608506759
477	0.5607587301
478	0.5606764748
479	0.5606250581
480	0.560565262
481	0.560469896
482	0.5604126651
483	0.5603370791
484	0.5602478695
485	0.5601927476
486	0.5600843279
487	0.5600203136
488	0.559951568
489	0.5598518128
490	0.5597620901
491	0.559663988
492	0.5596046479
493	0.5595548843
494	0.5595018145
495	0.5594008622
496	0.5593068073
497	0.5592354966
498	0.5591545524
499	0.5591064989
